index,部屋,風呂,料理（朝食）,料理（夕食）,接客・サービス,清潔感,見出し,本文
226,5,4,2,4,5,4,おもてなしは良かった,担当してくださった方もフロントの方も、こちらの質問などに本当に親切丁寧な対応をしていただき、有り難かったです。ただ、朝食がおせち料理が入っていて、家でもたべているので、それはホテルならではの、この地方ならではのものが良かったかなと思いました。お風呂は部屋風呂も露天風呂で、いつでも入ることができ満足でした。床暖房でなかなか気配りされていました
227,5,5,4,4,5,5,念願の！！,ずっと泊まりたかった南風荘へ！想像以上の部屋の綺麗さ落ち着きやすさでゆったり過ごすことができました！今回客室露天風呂に部屋食にとお部屋でのんびり過ごす時間がおおく最高の癒しの時間でした！！
228,5,5,4,4,5,5,家族旅行,昨年の夏に両親が予約してましたが母が腰を痛みてキャンセルして残念がっていたのでちょっと割高感がありましたがお邪魔させて頂きました。母がまだ本調子では無いので部屋食や部屋の露天風呂は助かりました。また、エレベーター近くの部屋にしてくれたり細かい気遣いが感じ取り好印象を受けました。この度はありがとうございました。
229,5,5,5,5,5,5,お風呂が広くてよかったです。,大浴場のお風呂が広く露天風呂も二つあり､とてもよかったです。突然の予約だったのですが､対応がとても良く快適に過ごせました。夕食の量なども多くとても美味しく満足でした。
230,5,5,4,5,5,5,母と2人久しぶりの箱根南風荘,箱根湯本駅前の長い列、ようやくマイクロバス(100円)に乗れて87歳の母と私は南風荘へ。広く綺麗なロビーでチェックイン。荷物を持ってもらいじゃらんで予約した部屋に案内してもらう。広々とした部屋に綺麗な大きなベッドが並び母と私は思わず「わー、綺麗！」とビックリ。テラスには露天風呂がありいつでも入れる。トイレは全自動。おもてなしのお菓子に南風荘の名前がある。いろいろなお茶が用意されて楽しい。さっそくお茶を入れお菓子を口にする。疲れが吹き飛ぶ。夕食迄時間があり売店を覗きに行く。部屋に用意された有平糖の飴を母は気に入りお友達に購入した。夕食は移動して個室で。お刺身が美味しい。牛肉の豆乳鍋、魚料理、揚げ物、どれも手が込んでいる。かわいいツボミの付いた枝が料理に添えてあり料理を引立てている。味噌汁とご飯を始めから出してもらう。炊き立てツヤツヤのご飯がとても旨い！最高！大満足。部屋へ戻る廊下を母とゆっくり歩く。それぞれの部屋にお正月飾りがある。部屋の入り口にはかわいい綺麗な生花がいけてある。とても嬉しい。年末までの疲れを癒してくれる。翌朝、身軽に帰りたく売店で無料の箱とヤマトの伝票をもらって荷物を送る。駅までのマイクロバスの時刻表がわかりやすく表示されている。南風荘が始発だから座って帰れる．楽で助かる。バスの中母と私はまた箱根に来るなら南風荘だねと話していると、窓の外ロビー前で手を振っているスタッフの姿が見えた。ありがとうございました。
231,5,5,4,4,5,5,温泉付き客室最高,年末まで溜まった疲れは大変癒されました。部屋で食事したり、温泉入ったり、くつろぎができました。部屋から出たくなくなりました。
232,5,4,5,5,5,5,部屋の露天風呂がよかった,温泉、接客、食事すべて良かったです。部屋の露天風呂が良くて何回も入ってリラックス出来ました。夕食が和食だったので乳製品アレルギーを伝えなかったら、伊勢海老がまさかのクリーム煮だったことだけが残念でした。
233,5,5,5,5,5,5,風呂良し食事良し,初めて宿泊しましたが食事に大満足の宿でした。朝夕共に本当に美味しく頂きました。部屋に露天風呂の着いた部屋でしたが、洗い場もあり子連れの旅行にはいいなと感じました。スタッフの皆様の対応も大変良かったです。次回は連泊して、ゆっくりさせて頂きます。本当に、ありがとうございました。
234,5,4,4,4,5,5,部屋が綺麗！！スタッフの対応が親切！！,久々の友人と、1月1日の明けましておめでとうSNSでやり取りしてるうちに、急遽、2日お互いに予定が空いてると言うことで久々の再会と同時に近場で温泉旅行に行こうと言う話になり、連休中の為、空きがないもしくは正月価格で泊まりたい所が見つからない前提で、客室露天風呂付きで東京から2時間という条件の元検索し、こちらの南風荘さんの口コミが良かった為夜中3時に予約ポチしました。車での道中1時間半。あまり期待しすぎずエントランスに着いた所、車ごと預かって頂き駐車して頂けました。ここからのサービスや対応が全て親切且つスムーズでした。チェックインの時間になり案内係の方にお部屋に案内して頂き、ビックリ！！お部屋が新しくとても綺麗でした！！新しい畳の匂い...綺麗！それだけでテンションが上がり、あちこちルームツアーを。。。客室露天風呂もバッチリの大きさ！洗面所は床暖房ですし、洗面所から露天テラスのモダンでシックな雰囲気も素敵！トイレも新しい！！友人と2人でここで良かったねと2人で感激しました！そして夕食は初めてのお部屋で頂くタイプ。担当の方の丁寧な接客で、色々と気を利かせてくれたおかげでとても快適でした。移動なしの為お部屋でゆっくり過ごす事が出来ました。ベットや枕も寝心地が良く、久々に安眠出来ました。当日夜中の急遽の予約だったのにも関わらず、素敵なお宿に泊まる事が出来て、新年早々とてもラッキーでした。また伺いたい宿になりました。ありがとうございます。
235,5,5,5,5,5,5,年末休暇,部屋が広く清潔感があり、個室露天風呂も24時間利用でき、家族でゆっくり出来て大変満足できました。食事も大変美味しくいただき、ボリュームも多くお腹いっぱいになりました。仲居さんも気配りが良く、安心してお任せできました。また是非利用したいです。
236,5,4,5,5,5,4,料理、接客、部屋設備が最適,今般、露天風呂付き客室に宿泊させていただきましたが、夕、朝の料理内容、満足させていただきました。スタッフの皆様方の接客も素晴らしいものでした。また、利用させていただきたいと思います。
237,5,5,5,5,5,5,また泊まりたい,はじめての宿泊になりますが、皆さん自然な笑顔でとても感じが良く、特にお部屋に案内してくれたスタッフさんには、感謝です。予約確認の電話の際に扇風機を貸して欲しいと頼んでいたけど、部屋に用意してなくて、その旨伝えたらすぐに用意してくれて快適に過ごせました。翌日チェックアウト後のタクシーも、すぐに手配してくれました。食事も、次の料理を待つのが嫌いなせっかちな私には、最高の提供の仕方でした。味も量も時間も満足でした。ご飯がとてもおいしかった。露天風呂付客室を転々と泊まり歩き、やっと最高の宿にたどり着いたと感じています。また是非泊まりたい！
238,5,5,5,5,5,5,ゆったりと過ごせる宿です。,何度か泊まらせていただいていますが、毎回、チェックインでの細やかな対応、美味しいお食事、気持ちいお風呂と大変リラックスした時間が過ごせています。歩くと駅から少し距離はありますが（バスを使えば歩く必要はないです）川べりを歩きながら行くのも雰囲気があって気持ちいいです。また利用したいです。
239,1,4,3,2,4,1,口コミとは違う,今回、急遽温泉へ行くことになり、年末ぎりぎりで別館のお部屋での予約となりました。口コミでは別館でもそんなに悪いということはなかったので、大丈夫だろうとこちらに決めました。しかし、今時この古い昭和のそれも超狭いトイレはあまりにも、、でした。ほかの方も口コミでトイレについては書かれていましたが、ここまでかと絶句しました。前泊者が使ったまま、便座は汚れていて、ペーパーのゴミもそのままでした。気持ちが悪いので自分で掃除しました。食事は3つの中から選べるということで、和食としゃぶしゃぶ。お食事もいまひとつインパクトに欠け、どうしてこんなに口コミが良いのか全く理解できませんでした。しゃぶしゃぶのお肉は固く脂が多く、野菜があってまだよかったと思いました。お風呂はとても広く露天風呂も気持ちが良かったです。二の湯の方が新しく脱衣所なども綺麗でした。箱根には何度も色々なホテルや旅館に宿泊しておりますが、施設が古いならば食事が良かったり、アメニティに満足感を出したりなど工夫を凝らしている所が多いです。サービスを今一度見直し、もう少し顧客が満足する目線でのご対応を切に願います。再訪はないです。
240,5,5,5,5,5,5,誕生日旅行,行く道中、渋滞に巻き込まれてしまい、予定より大幅に到着時間が遅くなってしまい夕飯を諦めかけていた所、臨機応変に対応をして頂き楽しみにしていた夜ご飯を食べることが出来ました♪温泉も最高に気持ち良く、とても幸せな誕生日旅行となりました！本当にありがとうございました☆
241,5,5,5,3,5,5,接客が素晴らしいです,次女との2人旅が好きでこれまで近場の湯河原や熱海、同じ箱根の他ホテルへ宿泊してきましたが娘が1番好きなホテルだと申しておりました。理由は接してくださる方々の優しさと大浴場や露天風呂の広さ清潔さ、食事を残しても嫌な顔をされなかった事だそうです。私自身も他所と比較し特筆すべき所は接客の良さだと思います。特に案内係り(間違っていたら申し訳ありません)の眼鏡をかけた女性の優しさ、心遣い、笑顔はこれまで訪れた旅館やホテルで１番の心地よさと安心をもたらしてくれました。また直ぐに宿泊したい！優しいお姉さんに会いたい！と娘が申しているため、春にでも伺えれば…と思っております。
242,5,4,5,5,4,4,ご飯が個室で食べれて豪華！贅沢部屋風呂付き,クリスマス旅行として利用させてもらいました。ご飯は個室で仕切られたお部屋で用意してもらい、とても豪華な会席料理を頂きました。朝ごはんも食べきれないほどの種類のおかずが用意してあり朝から贅沢な気分が味わえました。(完食しましたが、、、)大浴場は脱衣所がとても綺麗で、洗面スペースも個別に仕切られており、人目を気にせずスキンケアができます。お風呂も露天風呂がとても気持ちが良かったです。1番楽しみにしていたお部屋のお風呂も陶器できており、大満足でした。クリスマスに贅沢な気分を味わえました。また機会があればぜひ利用したいです。
243,5,5,4,4,4,4,お風呂　お部屋　ご飯が最高でした！,今年最後の旅行で口コミをみて宿泊させていただきました。チェックイン時間を変更してもらい予約時間より遅めになってしまったのに快く受け入れてくださりました。夕食の準備もスムーズにしていただき対応に感謝してます。お部屋も客室露天風呂も大浴場もすごく素敵でゆっくり過ごすことが出来ました。ご飯も個室で静かで美味しい食事を堪能できました。ただ１つ残念だったのがタオルが1枚ずつしか用意されてなく次の日の朝風呂のタオルをレンタルしようとしたら有料って言われてしまい…2人で1泊8万円以上支払いしたので1枚くらい貸してくれても…って思ってしまいました。それ以外は良かったです。
244,5,5,5,5,5,5,全て最高,温泉のお湯がすごく良かった。何度も入ってしまった。お部屋もお食事もとても良かったです。また、是非来たいなぁと思います。
245,5,5,5,5,5,5,接客もお料理も最高です！,何度かお世話になっております。お料理もとても満足しております！夕食の最後に出るパティシエさんのデザートもとても美味しいです。接客もとても素晴らしいです！また　お邪魔させていただきます^ - ^
246,5,5,5,5,3,5,口コミ通り良かった　美味しい食事でした,箱根湯本で　宿を探していました南風荘さんの口コミがいいのでて今回決めました古いですがきれいに掃除されているし一番驚いたのは刺身の新鮮だったこと　小田原御膳まさか箱根でこんなにも新鮮な刺身が食べられる事とても嬉しく美味しくいただきました　お風呂も日替わりで交代になり1泊でしたが夜と朝2種類たのしめました　次回は季節をかえて泊まります今年　一番コストパフォーマンスが良かった宿に成りました
247,5,5,5,5,5,5,半露天風呂と神奈川ブランド牛が最高でした,家族で２回目の利用になります。今回は、部屋に半露天風呂付、夕食は神奈川ブランド牛コースでした。その温泉も料理コースも大変よかったのですが、ホテルの職員の方も全員感じよかったです。旅館のレベルの高い箱根温泉にあって、間違いなくおすすめの宿です。
248,4,5,4,4,5,5,とても清潔でした。,別館に泊まりましたが部屋は清潔でした。大浴場はとても広く、脱衣所の畳は新しくロッカーなど良く出来ていました。
249,5,5,5,5,5,5,お風呂もご飯も最高でした！ぜひまた伺いたいです。,主人にもらった婚約指輪のお礼と日頃の感謝をしたくて温泉旅行をプレゼントしました。「いろんなふぐ料理を食べてみたいね」という話になり、こちらの冬季限定の懐石料理プラン？を予約しました。また追加でデコレーションケーキをサプライズで用意していただきました。宿に着くと仲居さんがお部屋まで案内してくださり、夕飯の支度も担当していただきました。丁寧で笑顔が素敵で、こちらも自然と笑顔になってしまうような接客でした。お夕飯も朝食もとっても美味しくて、お宿のご飯ってこんなに美味しいんだ！と感動しました。サプライズケーキのことをお伝えしていたためか夕食では料理長さんからのお心遣いもいただき、主人はそこで「ん？」と思ったようですが(笑)嬉しかったです。用意していただいたケーキもとても美味しくて「家の近くにお店があったら通っちゃうね」と話すほどでした。写真まで撮っていただいて、思い出がまたひとつ増えました。客室露天風呂付きのお部屋でしたが、温泉がひかれているので気持ちが良くてたくさん入ってしまいました。温度調節は最初難しかったですが、星を減らす理由には全くなりません。お部屋も綺麗で過ごしやすく、ぜひまた伺いたいと考えています。次はまた違うご飯もいただきたいです。この度は本当にありがとうございました。大満足の旅行になりました。
250,5,5,4,5,5,5,細やかなおもてなしが素晴らしい,別館は何度も宿泊した事がありましたが今回は本館の露天風呂付きのお部屋に宿泊しました。お部屋の隅々まで清潔で申し分ないお部屋とスタッフの方のおもてなしが素晴らしくてゆっくり過ごす事ができました。
251,4,4,4,5,4,4,初めての利用,口コミを見て利用を決めました！料理も美味しかったし部屋も綺麗で満足です！接客も丁寧でした。誕生日の記念に利用させてもらいましたが相手も満足してました！
252,4,4,4,5,4,4,部屋風呂食事すべて良し!,２回目の宿泊ですが、今回もゆっくりさせていただきました。食事も美味しく量もちょうど良かったです。また来年も宿泊したい！
253,5,5,5,5,5,5,お部屋食本当に美味しかったです,ホテルの方のサービスが丁寧で良かったです。また食事もすごく美味しくて食べきれなくて少し残してしまいましたが最高でしたっ！！お風呂も夜と朝では女湯と男湯が逆になるのでどちらも楽しめて最高でした！泉質は柔らかくてお肌にいい感じ！ただ少し残念だったのが、朝のお風呂の際に露天風呂(小さいお風呂)に女性2人組の先客が居たのですが長い間出たり入ったりを繰り返し占領されていたので残念でした。その間に中へ戻ってしまった方もいて全員が全員気遣い出来る方ではないと思うので、何か注意書き等を設置してみんなが気持ちよく楽しめたらいいなと言う事で－１評価で…それ以外は大満足なホテルLifeでした！
254,5,5,5,5,5,5,久々の夫婦旅行,久々に夫婦で旅行しました。お部屋まで案内してくれた方含め、スタッフの方々の心遣いがとても身に染みました。お部屋は全体的に綺麗で、2人ともゆったり過ごせ、客室露天風呂は夫婦2人で入っても余るほど大きくて、涼みながら外の景色も見られて最高でした。食事は朝夕共に量がしっかりしていて食べきれませんでしたが、味はとても美味しかったです。箱根に行く機会があればまた利用したいと思いました。
255,3,5,5,5,3,5,両親の親孝行の旅行には、おすすめです,両親が足が不自由なので、部屋にお風呂があり、部屋食で、温泉ありでここにしました。電話連絡した際はあまり対応が良くなかったですが、実際に対応して頂いたスタッフの方は、みんな対応が良かったです。料理が最高です。夜食はもちろんですが、朝食に感動しました。また泊まりたいと初めて思いました。
256,5,5,5,5,5,5,お部屋、お風呂、対応全て良かったです！,旦那さんの誕生日で利用させて頂きました。お部屋もお風呂も綺麗で広くてとても快適に過ごせました。特に客室露天風呂と大浴場の露天風呂が最高でした！ご飯も全て美味しくてお腹いっぱいになりました。お料理を持ってきて下さるスタッフさんが明るく丁寧で、とても幸せな気持ちになりました。誕生日旅行という特別な日を、とても良い思い出にする事ができました。ぜひまた利用させて頂きたいです。
257,4,4,4,4,5,5,接客が丁寧,恋人の誕生日に記念日プランで利用しました。チェックイン後すぐに浴衣選びから始まり、夕食時にはシャンパン・ケーキ、記念写真など良い思い出になりました。日曜日で宿泊客も多い中、ロビーでの待ち時間には紅茶を出していただいたりスタッフも親切で良かったです。
258,4,5,5,5,5,5,部屋露天風呂良かったです,おもてなしが最高で部屋の露天風呂も良かったです。料理もとても美味しかったです。また行きたいと思う。
259,5,5,5,5,5,5,お料理が豪華でした。,お部屋も掃除が行き届いており、綺麗でした。和室で落ち着くのがよかったです。夕飯の料理だけでなく朝食ビュッフェも豪華でした。黒納豆など珍しいものも多く、果物の種類も多くて過去1楽しいビュッフェでした。
260,5,5,4,5,4,5,おもてなしが最高でした,今回、お祝いも兼ねて3世代で露天風呂付客室を利用しました。外観は古い感じでしたが、部屋は綺麗で良かったです。記念写真や料理長からのサプライズのおもてなし等、とても感動しました。夕食も美味しく、沢山ありすぎて食べきれないくらいでした。お部屋担当の方も色々と気使い頂き、とてもいい人で良かったです。1つ残念なところは、コンセントの差し込み口が少なく困りました。又、もう少し気遣いあってもいいのではと思うスタッフの方がみえましたので、全体に接客対応が良ければ最高のお宿になるかと思います。
261,5,5,4,5,5,5,露天付きの部屋（Aタイプ）が快適,8月に宿泊してとても良かったので、1か月半後にまた伺いました。高齢の母が一緒だったので、並んでも乗れないことのある旅館組合のバスではなく、タクシーを使いました。料金は1000円弱。チェックイン時間前に到着したため、ロビーでホテルオリジナルのルイボスティーを出してくださいました。露天風呂付Aタイプの部屋に宿泊しました。以前宿泊したときには気が付かなかったのですが、洗面所と風呂場の石の床に暖房が入っており、とても冷え込んだ日だったのですがひやっとせずに快適でした。ただ湯温の調整は難しかったです。なるべく温泉水だけにしたかったので、チェックイン後すぐに温泉を止めて冷ましました。その後は反対に冷め過ぎてしまい、温泉をずっと出しっぱなしにしても注がれる量がそれほど多くないためなかなか適温になりませんでした。部屋のテーブルセットは低いタイプの椅子で、高齢の母や義足を使っている私にとって負担なく座れました。部屋も広すぎないので却って使い勝手が良かったです。部屋の空調が暖房の入切と強弱しかないため調整が上手くいかず、暑くて窓を開けていました。夕食は小学生の子どもたちはしゃぶしゃぶでしたが、とてもやわらかくて美味しい牛肉でした。ワンカットが大きいので、もう少し小さい方が食べやすいかとは思います。大人は季節の和食懐石で、夏とメニューもまったく違い楽しめました。デザートは果物が付いていると口直しになっていいかなと思います。朝食のバイキングはメニュー豊富ですが、揚げ物が多い印象でした。板前さんが焼いてくださるだし巻き卵がとても美味しいです。あと果物の種類が多く、10月初めだったのでブドウ、梨、りんごと季節の物がしっかりと入っているのがポイント高いです。総合的に私の家族にとっては過ごしやすい宿だったので、また是非伺いたいと思います。
262,5,2,3,2,5,5,露天風呂付きの部屋,清潔感は、申し分無いです。夕食は、少し物足らずでした、2泊したので、2日目は、バイキングに変更して貰い満足しました。朝、夕食個室での食事で少し割増感がありました、総評を、3にしたのが、大浴場の温泉がぬるい、私以外の方もやはり、ぬるいと言ってました、後一番気になったのが、本当に100%天然温泉かです。温泉に入った後、肌がカサカサになりました。銭湯のお湯と変わりませんでした、私は、肌がとても弱いので、普段カルキ臭い銭湯には、行きません。悪までも私個人の感想です。それ以外は、部屋の接客係のお兄さん、お姉さんの対応は、最高でした。チェックアウトの際ロビーに居た制服の方の対応は、少し気になりました、、ちょっと不快でした、先に宿泊代を、ホテルに振り込みしてると告げると、温泉使用料は、払いましたか？などお前が調べろそれから、足らなければ、確認しろと、接客の対応は、不快に感じました、控え明細、領収証も何もなく、聞かれもしませんでした、私は、必要は、無いものの、そんなものかと思いました、過去色んな温泉ホテルに宿泊しましたが、ここは、初めてこんな対応されました、たまたまなのか、このホテルでは、当たり前なのか、聞くべきだと思いました。一人3万の宿泊代ですから、それなりに対応すべきだと思います。この感想コメントホテルの方も見て欲しいです。総合的にとても、良い休日でした。
263,4,4,5,4,4,4,露天風呂付きが最高,リノベーションしているのか、外観は古いが部屋はもちろん、廊下も綺麗で部屋も明るく綺麗でした！ご飯を食べるところからの景色がとても綺麗！家族連れ、二世帯旅行、友人との旅行、本当にいろんな世代できてたイメージ！また行きたいと思います！
264,5,4,5,5,5,5,最高でした,今回は、子供2人連れての家族旅行で、露天風呂付き客室に宿泊しました。まず、部屋までの案内が良く、部屋も綺麗で露天風呂も最高でした。夕食は、選べるコースでそれぞれ好きな物を選べたのも良かったですし、朝食はバイキングでしたが味も量も良かったです。車も、ホテルに着いてスタッフが停めにいき、帰る時は玄関まで持ってきてくれるのでこの寒い時期には助かります。また、機会があれば行きたいです。
265,5,5,5,5,5,5,丁寧な対応ありがとうございます,お出迎えから丁寧に対応していただきました。露天風呂付きのお部屋に泊まったのですが、お風呂が最高でした！熱めなので温度を調節してくださいと事前に説明をしていただいたので、適温で入ることができました。お部屋のクレンジング・化粧水・乳液が某ブランドのものでテンション上がりました！夕食は小田原御膳をお願いしましたが、海鮮丼が豪華で、乗っていたたまご焼きがとても美味しくて感動しました。朝食にも出来立ての卵焼きがあり、朝も食べてまた感動…！とても満足！コストパフォーマンスも良いと思います。また泊まりにいきます！
266,5,5,5,5,5,5,安定のおもてなし,何度も利用させていただいていますが、毎回満足度が高いです。露天風呂付きAタイプはお部屋がリニューアルされてベッド仕様なのも◎。家族は広い大浴場が好きなので、そこも気に入っているようです。湯本駅からは少し距離がありますが、このお値段で露天風呂付き部屋食（お食事も美味しい！）が楽しめるのは箱根でも希少かと思います。部屋の露天は洗い場が外なので、冬場は少々寒いかもしれません。仲居さんの適度な距離感も良いです。常宿として、これからも利用したいホテルです。
267,4,4,3,5,5,4,スタッフの方の対応が素晴らしいです！,客室露天のお部屋で何回かお世話になっていますが、スタッフの方の対応がいつも気持ちよく安心します。建物は新しくピカピカ！では無いですが、とっても清潔でいつも気持ちよく過ごせます。改善して頂きたい点は、子どもの朝食がちょっと渋すぎる点です(^_^;)お味は勿論美味しいのですが、里芋の煮物や練物等はなかなか箸が進まなかったようです。夕食はとっても喜んで食べていました！お子さんが多いお宿かと思いますので、朝ごはんは豪華でなくとも、シンプルで食べやすいものが喜ばれるのではないでしょうか？(子どもだけでも洋食を選べるとか…)大人は夕食も朝食も大満足でした！次はいつ行こうか～？と話しています♪本当にお世話になりました。
268,5,5,3,4,5,4,部屋がきれいでした！,建物は古いですが部屋は綺麗で露天風呂もありゆっくりできました。朝食は冷めたものが多かったのであまり食べられず残念でしたがそれ以外はとても良かったです。銀婚式の良い記念になりました。次回は母と娘を連れて行きたいです！
269,5,4,5,5,4,5,お部屋と食事が良い！,和風特別室Bを利用させて頂きました。仲居さんに付いて頂き、食事も部屋食で量質ともにとても満足しました。大浴場も清潔感があり、部屋にも露天風呂付で満足です。ただひとつだけ私はタバコを吸います。喫煙所は団体の他のお客様が来ているため、結構いつも溜まっている状態でした。今の時代タバコを吸う方は少ないと思いますがそこの掃除が行き届いていなかったのが唯一の残念な所でした。また大浴場が時間帯で女湯と男湯が入れ替わります。私達は露天風呂付部屋だったので1泊2日で3ヶ所入れとても満足ですが、温泉目的で部屋に露天風呂がない方は他の日帰り温泉とか行かないと人によっては温泉満足度はどうかな？と思いました。大浴場は取り立てて大きいわけではないので。私たちはとても満足でした。また利用します。
270,5,4,4,5,4,5,癒しの空間,露天風呂付きのお部屋に家族旅行で利用しました。好きなときにゆっくり温泉に浸かれてとても満足しました。不満な点は、電車での旅行で駅から思ったより遠く、旅館を回る乗合バスの本数が少ないこと、公共のバスも本数が少なかったので結局タクシーを利用。専用の送迎車があったら、言うことなしでした。
271,5,5,5,5,5,5,サービスがよかった！,露天風呂付きの部屋にして本当に正解！大浴場は結構シンプル！サウナがなくて少し残念だったけど、そんなのはお風呂のあとの部屋での夕食の美味しさで全部忘れた！お肉本当に柔らかくておいしかったし季節のお酒がまじで美味しくて買いたくなった！売ってないのがちょっぴり残念…。スタッフさんもいい人たちばかりで最高の旅行になってまた行きたいと思った！
272,4,4,4,4,4,5,客室が綺麗,古いホテルが多いのですが、私達のお部屋はリニューアルされていて古臭い匂いもなく、綺麗で気持ち良かったです。
273,5,5,5,5,5,5,部屋に露天風呂付きなのでゆっくり休めます,スタッフ方々も親切でとても良かったです  露天風呂付きの部屋を予約して家族4人でゆっくり休んで、息子たちは大浴場も良かったそうです  体の不自由な夫がいて部屋でゆっくり食事もいただきました メインのふぐ料理もとっても美味しくて 牛ステーキも柔くて 美味しく頂き満足しました。 南風荘に予約してよかったと思います。
274,5,5,4,4,5,4,還暦祝い旅行,母の還暦祝いで4人で利用させていただきました。足腰が痛い母の希望でベッドで、露天風呂付きのお部屋を選択しましたが、部屋全体がバリアフリーになっていて、起きて腰が痛くなかったのは久々！とベッドの寝心地にも大変満足していました。客室露天風呂は無調整だとだいぶ熱いですが、入る時間やメンバーによって自分で水で調整できるので問題なく入れました。柔らかいお湯で気持ちよかったです。個室食事処での食事で落ちついてゆっくりできました。小学生の子供も一緒でしたが、大人に準ずる食事だと量が多すぎないか不安がありましたが、お子様御膳に変更してもらえました。スタッフの方々もにこやかで丁寧におもてなししてくれたので、とても良い記念旅行になりました。ありがとうございました。
275,5,5,5,5,5,5,スタッフの対応が最高、設備がきれいで食事もおいしい,11月半ばに小中校生連れで露天ぶろ付きのお部屋に泊まらせていただきました。チェックイン時のスタッフの対応と笑顔にまずほっとし、部屋に通されてからは担当スタッフのかたの細やかなおもてなしを受け、このホテルにしてよかった！と大満足です。（当初駅近ホテルにするか迷いました）箱根湯本からはホテル間を回るバスがいっぱいで乗れなかったのですが、20メートルほど離れたバス停から市営バスを利用できたため、何の問題もありませんでした。お部屋は大変清潔で、水回りも髪の毛、ほこり一つありませんでした。脱衣所に床暖房があったのが家族全員に大好評でした。また利用したいと思います。ありがとうございました。
276,3,3,3,2,2,3,おもてなしが不満,フロントでの入館、退館時にの挨拶（いらっしゃい、ありがとうございました）が無かった様でした。楽しみの夕食も海鮮丼のネタが多すぎてネタそれぞれが美味しく無かったのは残念でした。
277,5,5,4,4,5,5,個室で食事できるのが良い,露天風呂を含む部屋の配置が良いのでゆったり過ごせる。食事も個室なので安心。ただ温泉周りのバスは乗車人数オーバーで乗車できないことがあるので注意が必要
278,5,4,3,5,5,5,施設も接客もとても良い,スタッフの皆様とても優しく接待して下さり、とても優雅に過ごすことが出来ました！施設も良く、大浴場、露天風呂付きのお部屋もすごく良かったです！
279,5,5,5,5,4,5,部屋も食事も大満足です。,部屋に露天風呂があり、いつでもすぐに入れて最高でした。シャワーが外にあるので、寒いかなと思いましたが、11月下旬にしては、暖かい日だったので寒くなかったです。寒い時にシャワーがゆっくり使えるように、ブラインドの部分が開閉できる窓などがついてたらいいなと思いました。部屋は高級感があり、造りも新しく綺麗でした。料理も凝っていて美味しかったです。スタッフの方の対応も良かったです。食事時間の変更をお願いしていたのが伝わってなかったのが残念でしたが、それ以外は、全体的に大満足です。
280,4,5,5,5,5,5,また是非訪れたいです！,秋の箱根はとっても混んでいるのですが、お宿は混雑を感じさせないゆったりした感じ、夕飯は部屋出し、朝食のバイキングもそこまで混んでなくて良かったです。大浴場は露天風呂がやや狭くちょっと混雑していましたが、お湯はとっても良かったです。食事もとても美味しくて量も丁度良かったです。湯本に泊まる際は是非ともまた利用したいと思います。
281,1,4,5,5,5,3,ご飯が美味しい,ご飯が夕食も朝食もおいしかった。バイキングで美味しいところって中々無いのでびっくりした。部屋は狭め、ドアが薄くて、ふすまの取手は外れる、トイレ狭過ぎで残念な感じ。廊下も煙草臭くて気持ち悪くなった。お風呂は地下二階のほうは開放感があってすごく良かった！一階は狭め。荷物は自分で運ばないといけないスタイル。安く済ませたい旅行の時はいいかなって感じ。
282,2,4,4,4,4,4,料理が美味しかった,夕飯は和食会席、朝はバイキングでしたが、どちら美味しく大満足でした。部屋は別館の和洋室で少し古さを感じましたが全体的には綺麗で広さも快適でした。ただ、大浴場まで遠く不便を感じました。また、壁が薄いようで隣の部屋が夜中まで騒いでいる声がよく聞こえ、寝ることができず寝不足になりました。大浴場はぬるめのお湯ですがゆっくり浸かっている事ができ、とてもいいお湯でした。全体評価としては満足したお宿でしたので、また機会があれば利用したいと思います！お世話になりました。
283,4,3,4,3,2,4,期待していましたが,若いスタッフがおおく、接客があまりよくなかったのがきになりました。チェクイン１５時で１４時半に行きまってましたが、15時15分までまたされたのが、少しいやでした
284,5,5,3,5,5,5,目的が南風荘･･･成功満足,横浜在住なので箱根への旅ではなく南風荘で過ごすことが目的でした。部屋案内と部屋食担当は今年入社のスタッフくん(氏)、マニュアルをしっかり守る対応は当然として清潔感、笑顔など人柄から満足、さすがホテルの対応･･･夕食は以前においしい海鮮と話したせいか今回、おいしいお刺身は本当においしかった。その他懐石は高齢者には優しい味で満足、今回は結婚記念日で料理長に感謝一点、朝食は品数よりと思う点と味噌汁ややぬるかった･･･最大の目的のお湯はもちろん何時までもぽかぽか、湯本の湯は冷え性や腰痛には良いとか聞くけれど湯質が良いと思う。室内のデザインや設備機器も露天風呂材質ももちろんですが、細かな点も例えばシャワーヘッド一つ取っても何気なく良い機器を選択など大切な客をおもてなしする姿勢が評価できる。朝一番お湯で初めてこのホテルに来た方と話をしたがいつの間にかホテル自慢の口調の己･･･褒めすぎかも･･･我々夫婦はそろって常宿かも
285,5,4,5,5,5,5,また泊まりたいです,お部屋のお風呂が熱くてお水で冷ましたのと、上の階の足音がちょっとうるさかったけど、お部屋そのものは最高だし、お料理も美味しかったです。またリピートしたいです。
286,5,4,5,5,5,4,誕生日記念旅行,母親の誕生日記念の旅行で伺ったのですが、ホテルからサプライズで記念写真や特別料理など思いがけないおもてなしで感動した。また接客係の方の気遣いも細やかでまた伺いたいと思いました。
